팩트블럭1,팩트블럭1_소스,팩트블럭2,팩트블럭2_소스,관계,예시
"EU가 쿠키 사용에 대한 명시적 동의를 의무화하는 GDPR 개정안을 발표했다","EU 공식 보도자료","구글이 YouTube 광고 타겟팅을 지역 기반으로 전환했다","구글 IR 자료","triggers_compliance_change","쿠키 규제 → 광고 타겟팅 방식 변경"
"미국 캘리포니아주가 아동 온라인 개인정보 수집을 전면 금지했다","캘리포니아주 법무부","틱톡이 13세 미만 사용자 계정을 자동 비공개로 전환했다","틱톡 정책 업데이트","requires_service_modification","아동보호 규제 → SNS 서비스 정책 변경"
"EU가 패스트패션 제품에 대한 환경세를 톤당 €500로 책정했다","유럽의회 환경위원회","자라(Zara)가 재활용 소재 비율을 80%로 늘리는 'Circular Design' 프로그램을 발표했다","인디텍스 지속가능성 보고서","drives_material_shift","환경세 → 소재 혁신"
"중국이 탄소배출권 거래제를 화학업계로 확대 적용한다고 발표했다","중국 생태환경부","BASF가 중국 내 석유화학 공장 3곳의 생산라인을 전기로 전환했다","BASF 중국 법인 보도자료","necessitates_production_change","탄소배출 규제 → 생산공정 전환"
"한국 금융위가 P2P 대출 개인 투자한도를 연 1,000만원으로 제한했다","금융위원회 보도자료","8퍼센트가 기관투자자 중심의 '프로 상품'으로 사업모델을 전환했다","8퍼센트 IR 설명회","forces_business_model_change","투자한도 규제 → 타겟고객 변경"
"미국 연준이 스테이블코인 발행업체의 준비금을 100% 현금 보유로 의무화했다","연방준비제도 규제안","테더가 미국 국채 투자 포트폴리오를 전량 현금으로 전환했다","테더 재무제표","mandates_reserve_restructuring","준비금 규제 → 자산구조 변경"
"FDA가 소비자용 헬스케어 기기의 의료진 처방전을 의무화했다","FDA 의료기기 가이드라인","애플워치가 심전도 기능을 '의료진 추천' 모드로만 제한했다","애플 헬스 앱 업데이트","restricts_consumer_access","처방전 의무화 → 기능 접근성 제한"
"일본 후생노동성이 AI 진단 알고리즘에 대한 임상시험을 의무화했다","일본 후생노동성","소프트뱅크가 AI 피부암 진단 앱 출시를 2년 연기했다","소프트뱅크 의료사업부","delays_product_launch","임상시험 의무화 → 제품 출시 지연"
"인도가 결제 데이터의 국내 저장을 의무화하는 법안을 통과시켰다","인도 정보기술부","마스터카드가 뭄바이에 ₹2,000크로어 규모의 데이터센터를 신설했다","마스터카드 인도 법인","triggers_infrastructure_investment","데이터 현지화 → 인프라 투자"
"브라질이 개인정보가 포함된 데이터의 해외 전송을 금지했다","브라질 개인정보보호청","우버가 브라질 사용자 데이터를 상파울루 AWS 리전으로 이전했다","우버 브라질 컴플라이언스 보고서","requires_data_migration","데이터 이전 금지 → 클라우드 지역 변경"
"EU가 2025년부터 모든 신차에 운전자 졸음 감지 시스템 설치를 의무화했다","유럽 교통안전위원회","테슬라가 유럽향 Model Y에 아이트래킹 카메라를 추가 장착했다","테슬라 유럽 사양 발표","mandates_safety_feature_addition","졸음감지 의무화 → 하드웨어 사양 변경"
"중국이 자율주행 차량의 도심 주행을 운전자 동승 조건으로 제한했다","중국 교통운수부","바이두 아폴로가 베이징 로보택시 서비스에 안전요원 2명 배치를 발표했다","바이두 아폴로 운영 계획","increases_operational_requirements","동승자 의무화 → 운영비용 증가"
"한국이 게임 내 NFT 거래를 도박으로 분류해 금지했다","게임물관리위원회","넷마블이 'A3: 스틸 얼라이브' NFT 마켓플레이스를 폐쇄했다","넷마블 공식 공지","forces_feature_removal","NFT 게임 금지 → 수익모델 제거"
"미국 SEC가 게임 토큰을 증권으로 분류하는 가이드라인을 발표했다","SEC 디지털자산 부서","액시 인피니티가 AXS 토큰 스테이킹 서비스를 미국에서 중단했다","스카이 마비스 법무팀","restricts_token_utility","토큰 증권 분류 → 서비스 지역 제한"
"서울시가 데이터센터 건립 시 주거지역 500m 이내 금지 조례를 제정했다","서울시청 도시계획국","네이버가 춘천 데이터센터 부지를 기존 성남에서 변경했다","네이버 인프라 사업부","forces_location_change","입지 제한 → 사업장 이전"
"캘리포니아주가 플랫폼 노동자를 정규직으로 분류하는 AB5 법안을 확대 적용했다","캘리포니아주 노동부","우버가 캘리포니아에서 기본 시급 $18 + 주행거리당 $0.30 지급을 시작했다","우버 드라이버 정책 업데이트","increases_labor_costs","정규직 분류 → 급여체계 변경"
"EU가 AI 시스템에 대한 위험도 분류 의무화를 시행했다","EU AI Act 시행령","오픈AI가 GPT-4 유럽 서비스에 위험도 표시 라벨을 추가했다","OpenAI 유럽 정책팀","requires_risk_labeling","AI 위험도 분류 → 서비스 UI 변경"
"미국 FTC가 다크 패턴 디자인에 대한 벌금을 건당 $100만으로 인상했다","FTC 소비자보호국","아마존이 Prime 구독 취소 버튼을 메인페이지로 이동했다","아마존 사용자경험팀","improves_user_interface","다크패턴 규제 → UX 개선"
"싱가포르가 드론 배송 서비스에 대한 안전 인증을 의무화했다","싱가포르 교통부","그랩이 음식 배송 드론 시범 서비스를 6개월 연기했다","그랩 물류 사업부","delays_service_expansion","드론 인증 의무화 → 서비스 출시 지연"
"캐나다가 스트리밍 서비스의 캐나다 콘텐츠 30% 의무 편성을 도입했다","캐나다 방송통신위원회","넷플릭스가 토론토에 $500M 규모의 콘텐츠 제작 스튜디오를 설립했다","넷플릭스 캐나다 법인","drives_local_content_investment","로컬 콘텐츠 의무화 → 제작 투자 확대"
"독일이 자동차 배기가스 측정을 실도로 테스트로 변경했다","독일 연방자동차청","폭스바겐이 디젤 엔진 개발을 중단하고 전기차로 전환했다","폭스바겐 기술개발부","accelerates_technology_transition","배기가스 기준 강화 → 엔진 기술 전환"
"호주가 소셜미디어 플랫폼에 뉴스 사용료 지불을 의무화했다","호주 경쟁소비자위원회","페이스북이 호주 뉴스 탭 서비스를 완전 중단했다","메타 호주 정책팀","eliminates_news_service","뉴스 사용료 의무화 → 뉴스 서비스 중단"
"프랑스가 배달앱의 레스토랑 수수료를 30%로 제한했다","프랑스 경제재정부","우버이츠가 프랑스에서 '프리미엄 마케팅' 유료 서비스를 출시했다","우버이츠 프랑스 법인","introduces_premium_services","수수료 제한 → 대체 수익원 개발"
"일본이 암호화폐 거래소의 고객 자산 분리보관을 의무화했다","일본 금융청","코인체크가 고객 자산 전용 콜드월렛 시설을 구축했다","코인체크 보안팀","enhances_security_infrastructure","자산 분리보관 의무화 → 보안 인프라 투자"
"영국이 온라인 플랫폼의 아동 안전 의무를 강화했다","영국 통신규제청","유튜브가 영국에서 13세 미만 댓글 기능을 완전 비활성화했다","유튜브 안전정책팀","restricts_platform_features","아동 안전 강화 → 플랫폼 기능 제한"
"스위스가 암호화폐 스테이킹에 대한 과세를 소득세로 분류했다","스위스 연방세무청","이더리움 재단이 스위스 스테이킹 풀 운영을 중단했다","이더리움 재단 세무팀","ceases_staking_operations","스테이킹 과세 → 서비스 중단"
"네덜란드가 광고 차단 소프트웨어 사용을 소비자 권리로 인정했다","네덜란드 소비자보호청","구글이 네덜란드에서 YouTube Premium 광고 없는 서비스 가격을 30% 인하했다","구글 네덜란드 마케팅팀","adjusts_pricing_strategy","광고차단 권리 인정 → 프리미엄 가격 조정"
"이탈리아가 AI 챗봇의 데이터 출처 명시를 의무화했다","이탈리아 개인정보보호청","ChatGPT가 이탈리아 서비스에 '데이터 출처' 탭을 추가했다","OpenAI 유럽 컴플라이언스팀","adds_transparency_features","데이터 출처 의무화 → 투명성 기능 추가"
"벨기에가 암호화폐 광고에 위험 경고문 표시를 의무화했다","벨기에 금융서비스시장청","바이낸스가 벨기에 광고에 '투자 위험' 경고문을 50% 이상 크기로 표시했다","바이낸스 마케팅팀","enhances_risk_disclosure","위험 경고 의무화 → 광고 디자인 변경"
"스페인이 배달 라이더에게 사회보험 가입을 의무화했다","스페인 노동사회보장부","글로보가 스페인 라이더 2,000명에게 정규직 계약을 제공했다","글로보 인사팀","converts_to_employee_status","사회보험 의무화 → 고용 형태 전환"
"포르투갈이 단기 임대(에어비앤비) 신규 등록을 중단했다","포르투갈 관광청","에어비앤비가 리스본 기존 숙소의 장기 임대 전환 프로그램을 시작했다","에어비앤비 포르투갈 정책팀","pivots_business_model","단기임대 금지 → 장기임대 전환"
"노르웨이가 전기차가 아닌 차량의 도심 진입을 금지했다","노르웨이 교통부","볼보가 노르웨이 전용 전기 트럭 라인업을 확대했다","볼보 트럭 노르웨이 법인","expands_electric_vehicle_lineup","내연기관 진입 금지 → 전기차 라인업 확대"
"덴마크가 육류 제품에 탄소세를 kg당 DKK 5로 부과했다","덴마크 환경부","맥도날드가 덴마크에서 식물성 패티 비율을 70%로 늘렸다","맥도날드 덴마크 법인","increases_plant_based_options","육류 탄소세 → 식물성 메뉴 확대"
"핀란드가 원자력 발전소 반경 30km 내 데이터센터 건설을 금지했다","핀란드 방사선원자력안전청","마이크로소프트가 핀란드 데이터센터를 헬싱키에서 탐페레로 이전했다","마이크로소프트 북유럽 인프라팀","relocates_data_center","원전 인근 건설 금지 → 데이터센터 이전"
"아이슬란드가 비트코인 채굴에 대한 전력 공급을 제한했다","아이슬란드 에너지청","제네시스 마이닝이 아이슬란드 채굴장을 텍사스로 이전했다","제네시스 마이닝 운영팀","relocates_mining_operations","전력 공급 제한 → 채굴장 이전"
"체코가 Uber, Bolt 등 승차 공유 서비스에 택시 면허를 의무화했다","체코 교통부","볼트가 체코에서 택시 면허 보유 운전자만 매칭하는 '볼트 택시' 서비스를 출시했다","볼트 체코 법인","launches_licensed_service","택시 면허 의무화 → 면허 기반 서비스 출시"
"폴란드가 소셜미디어 계정 검열에 대한 이의제기 절차를 의무화했다","폴란드 디지털화부","트위터가 폴란드에 '콘텐츠 이의제기 센터'를 신설했다","트위터 폴란드 정책팀","establishes_appeal_center","이의제기 절차 의무화 → 이의제기 센터 신설"
"헝가리가 온라인 도박 광고를 오후 6시-오전 6시로 제한했다","헝가리 국가도박청","bet365가 헝가리에서 낮 시간 광고를 팟캐스트와 인플루언서 마케팅으로 전환했다","bet365 헝가리 마케팅팀","shifts_advertising_strategy","도박 광고 시간 제한 → 마케팅 채널 변경"
"슬로바키아가 암호화폐 ATM 설치에 은행 허가를 의무화했다","슬로바키아 중앙은행","비트코인 ATM 운영사 제너럴 바이트가 슬로바키아 ATM 50대를 철거했다","제너럴 바이트 동유럽팀","removes_atm_installations","ATM 허가 의무화 → ATM 철거"
"크로아티아가 관광 숙박업소의 에너지 효율 등급 A 이상을 의무화했다","크로아티아 관광부","호텔 체인 마이어호텔이 크로아티아 15개 호텔에 태양광 패널을 설치했다","마이어호텔 지속가능경영팀","installs_renewable_energy","에너지 효율 의무화 → 재생에너지 설치"
"슬로베니아가 일회용 플라스틱 포장재에 개당 €0.1 세금을 부과했다","슬로베니아 환경부","맥도날드가 슬로베니아에서 종이 포장재로 100% 전환했다","맥도날드 슬로베니아 법인","switches_to_paper_packaging","플라스틱세 부과 → 포장재 소재 전환"
"라트비아가 온라인 약국의 처방전 전자 검증을 의무화했다","라트비아 보건부","유럽 온라인 약국 독터모리스가 라트비아에 전자처방전 검증 시스템을 도입했다","독터모리스 라트비아 법인","implements_digital_verification","전자 검증 의무화 → 디지털 시스템 도입"
"에스토니아가 자율주행차 테스트를 위한 보험 가입을 의무화했다","에스토니아 교통청","스타트업 아우토와이즈가 에스토니아 자율주행 테스트를 위해 €10M 보험에 가입했다","아우토와이즈 법무팀","secures_mandatory_insurance","테스트 보험 의무화 → 고액 보험 가입"
"리투아니아가 핀테크 스타트업의 자본금을 €100만으로 상향했다","리투아니아 중앙은행","비트코인 거래소 코인게이트가 리투아니아에서 라트비아로 본사를 이전했다","코인게이트 경영진","relocates_headquarters","자본금 규제 강화 → 본사 이전"
"몰타가 블록체인 기업의 연간 감사를 의무화했다","몰타 금융서비스청","바이낸스가 몰타에서 케이맨 제도로 법인을 이전했다","바이낸스 법무팀","changes_jurisdiction","감사 의무화 → 법인 소재지 변경"
"키프로스가 암호화폐 거래소의 고객 자금 보험 가입을 의무화했다","키프로스 증권거래위원회","암호화폐 거래소 스토밍이 키프로스에서 €50M 고객자금 보험에 가입했다","스토밍 리스크관리팀","obtains_customer_insurance","고객자금 보험 의무화 → 보험 가입"
"룩셈부르크가 AI 투자 자문 서비스의 알고리즘 공개를 의무화했다","룩셈부르크 금융감독청","로보어드바이저 스마트폴리오가 룩셈부르크에서 알고리즘 상세 설명 페이지를 공개했다","스마트폴리오 컴플라이언스팀","discloses_algorithm_details","알고리즘 공개 의무화 → 투명성 페이지 공개"
"아일랜드가 데이터센터의 재생에너지 100% 사용을 의무화했다","아일랜드 환경기후통신부","아마존이 아일랜드 데이터센터를 위해 더블린 근교에 풍력발전소를 건설했다","아마존 웹 서비스 아일랜드","builds_renewable_energy_facility","재생에너지 의무화 → 풍력발전소 건설"
"그리스가 관광객 대상 단기임대 숙박세를 1박당 €15로 인상했다","그리스 관광부","에어비앤비가 그리스에서 숙박세 자동 징수 시스템을 도입했다","에어비앤비 그리스 세무팀","automates_tax_collection","숙박세 인상 → 자동 세금 징수 시스템"
"불가리아가 온라인 식품 배송업체의 음식 안전 인증을 의무화했다","불가리아 식품안전청","딜리버루가 불가리아 파트너 레스토랑 1,200곳에 HACCP 인증 지원을 제공했다","딜리버루 불가리아 품질관리팀","supports_safety_certification","식품 안전 인증 의무화 → 파트너 인증 지원"
"루마니아가 e-스포츠 베팅에 대한 연령 확인을 강화했다","루마니아 국가도박청","베팅 사이트 베트파이어가 루마니아에서 생체인식 연령 확인 시스템을 도입했다","베트파이어 루마니아 컴플라이언스팀","implements_biometric_verification","연령 확인 강화 → 생체인식 시스템 도입"
"세르비아가 암호화폐 수익에 대한 세율을 15%로 설정했다","세르비아 재무부","바이낸스가 세르비아 사용자에게 세금 신고 도구를 제공하기 시작했다","바이낸스 세르비아 세무팀","provides_tax_reporting_tools","암호화폐 과세 → 세금 신고 도구 제공"
"보스니아가 소셜미디어 인플루언서 광고에 명시적 표시를 의무화했다","보스니아 광고표준청","인스타그램이 보스니아에서 '#광고' 태그 자동 생성 기능을 추가했다","인스타그램 발칸반도 정책팀","auto_generates_ad_labels","광고 표시 의무화 → 자동 태그 생성"
"북마케도니아가 온라인 교육 플랫폼의 교사 자격 검증을 의무화했다","북마케도니아 교육과학부","유데미가 북마케도니아에서 교사 자격증 확인 시스템을 구축했다","유데미 동유럽 교육팀","builds_credential_verification","교사 자격 검증 의무화 → 자격 확인 시스템"
"알바니아가 암호화폐 거래소의 물리적 사무소 설치를 의무화했다","알바니아 중앙은행","크라켄이 알바니아 티라나에 현지 사무소를 개설했다","크라켄 동남유럽팀","opens_physical_office","물리적 사무소 의무화 → 현지 사무소 개설"
"몬테네그로가 관광 가이드 앱의 현지 언어 지원을 의무화했다","몬테네그로 관광지속발전부","구글 맵이 몬테네그로어 음성 안내 기능을 추가했다","구글 맵스 동남유럽팀","adds_local_language_support","현지 언어 의무화 → 언어 지원 기능 추가"
"카자흐스탄이 암호화폐 채굴업체의 전력 사용량 신고를 의무화했다","카자흐스탄 에너지부","비트마인이 카자흐스탄 채굴장에 스마트 전력 모니터링 시스템을 설치했다","비트마인 중앙아시아 운영팀","installs_power_monitoring","전력 사용량 신고 의무화 → 모니터링 시스템 설치"
"우즈베키스탄이 온라인 결제 서비스의 현지 은행 파트너십을 의무화했다","우즈베키스탄 중앙은행","페이팔이 우즈베키스탄 국립은행과 현지 결제 서비스 파트너십을 체결했다","페이팔 중앙아시아팀","forms_local_banking_partnership","현지 은행 파트너십 의무화 → 은행 제휴"
"키르기스스탄이 모바일 앱의 키르기스어 지원을 의무화했다","키르기스스탄 디지털발전부","와츠앱이 키르기스어 인터페이스를 추가했다","메타 중앙아시아 현지화팀","adds_kyrgyz_language_interface","키르기스어 의무화 → 언어 인터페이스 추가"
"타지키스탄이 VPN 서비스 사용에 대한 라이선스를 의무화했다","타지키스탄 통신기술부","익스프레스VPN이 타지키스탄에서 서비스를 중단했다","익스프레스VPN 중앙아시아팀","discontinues_vpn_service","VPN 라이선스 의무화 → 서비스 중단"
"투르크메니스탄이 소셜미디어 게시물의 사전 검열을 의무화했다","투르크메니스탄 정보부","텔레그램이 투르크메니스탄에서 자동 콘텐츠 필터링을 강화했다","텔레그램 중앙아시아 정책팀","enhances_content_filtering","사전 검열 의무화 → 자동 필터링 강화"
"조지아가 핀테크 스타트업의 현지 직원 고용을 의무화했다","조지아 경제지속발전부","와이즈(Wise)가 조지아 트빌리시에 고객지원센터를 개설했다","와이즈 코카서스팀","opens_customer_support_center","현지 직원 의무화 → 고객지원센터 개설"
"아르메니아가 암호화폐 거래소의 고객 신원 확인을 강화했다","아르메니아 중앙은행","로컬비트코인이 아르메니아에서 KYC 인증 절차를 3단계로 확대했다","로컬비트코인 코카서스팀","expands_kyc_procedures","신원 확인 강화 → KYC 절차 확대"
"아제르바이잔이 온라인 쇼핑몰의 현지 물류센터 운영을 의무화했다","아제르바이잔 경제부","알리익스프레스가 바쿠에 물류센터를 신설했다","알리바바 코카서스 물류팀","establishes_local_logistics_center","현지 물류센터 의무화 → 물류센터 신설"
"몰도바가 온라인 게임의 도박 요소 제거를 의무화했다","몰도바 도박위원회","EA스포츠가 몰도바에서 FIFA 팩 구매 기능을 제거했다","EA 동유럽 컴플라이언스팀","removes_loot_box_features","도박 요소 제거 의무화 → 팩 구매 기능 제거"
"벨라루스가 외국 IT 서비스의 현지 법인 설립을 의무화했다","벨라루스 디지털경제부","드롭박스가 벨라루스에서 서비스를 중단했다","드롭박스 동유럽팀","terminates_service_operations","현지 법인 의무화 → 서비스 중단"
"우크라이나가 암호화폐 거래 수익의 신고를 의무화했다","우크라이나 재무부","바이낸스가 우크라이나 사용자에게 세금 계산기 도구를 제공했다","바이낸스 우크라이나 세무팀","provides_tax_calculator","수익 신고 의무화 → 세금 계산 도구 제공"
"터키가 소셜미디어 플랫폼의 현지 대표자 임명을 의무화했다","터키 정보통신기술청","트위터가 터키에 현지 법무 대표자를 임명했다","트위터 터키 법무팀","appoints_local_representative","현지 대표자 의무화 → 법무 대표자 임명"
"이스라엘이 핀테크 서비스의 사이버 보안 인증을 의무화했다","이스라엘 은행","레볼루트가 이스라엘에서 ISO 27001 보안 인증을 취득했다","레볼루트 중동 보안팀","obtains_security_certification","사이버 보안 인증 의무화 → ISO 인증 취득"
"요르단이 온라인 교육 플랫폼의 아랍어 콘텐츠 50% 이상을 의무화했다","요르단 교육부","코세라가 요르단에서 아랍어 강의 비율을 60%로 확대했다","코세라 중동 콘텐츠팀","increases_arabic_content","아랍어 콘텐츠 의무화 → 아랍어 강의 확대"
"레바논이 암호화폐 거래소의 달러 연동 서비스를 금지했다","레바논 중앙은행","바이낸스가 레바논에서 USDT 거래를 중단했다","바이낸스 중동 컴플라이언스팀","suspends_stablecoin_trading","달러 연동 금지 → 스테이블코인 거래 중단"
"시리아가 VPN을 통한 소셜미디어 접속을 차단했다","시리아 통신우편부","Signal이 시리아에서 프록시 서버 지원을 추가했다","Signal 중동 기술팀","adds_proxy_server_support","VPN 차단 → 프록시 서버 지원"
"이라크가 온라인 송금 서비스의 현지 은행 경유를 의무화했다","이라크 중앙은행","웨스턴유니온이 이라크 라피딘 은행과 파트너십을 체결했다","웨스턴유니온 중동팀","partners_with_local_bank","현지 은행 경유 의무화 → 은행 파트너십"
"쿠웨이트가 암호화폐 광고에 이슬람 율법 준수 표시를 의무화했다","쿠웨이트 금융통화청","바이낸스가 쿠웨이트 광고에 '샤리아 컴플라이언트' 인증 마크를 추가했다","바이낸스 중동 마케팅팀","adds_sharia_compliance_mark","이슬람 율법 표시 의무화 → 샤리아 인증 마크 추가"
"바레인이 핀테크 스타트업의 현지 투자자 30% 이상을 의무화했다","바레인 중앙은행","영국 핀테크 레볼루트가 바레인 주권펀드와 합작법인을 설립했다","레볼루트 중동 사업개발팀","establishes_joint_venture","현지 투자자 의무화 → 합작법인 설립"
"카타르가 월드컵 관련 앱의 아랍어 지원을 의무화했다","카타르 통신기술부","우버가 카타르에서 아랍어 음성 명령 기능을 추가했다","우버 중동 현지화팀","adds_arabic_voice_commands","아랍어 지원 의무화 → 음성 명령 기능 추가"
"UAE가 암호화폐 거래소의 현지 라이선스 취득을 의무화했다","UAE 금융서비스규제청","코인베이스가 아부다비에 중동 본부를 설립했다","코인베이스 중동 사업개발팀","establishes_regional_headquarters","현지 라이선스 의무화 → 중동 본부 설립"
"오만이 온라인 결제 서비스의 오만 리알 지원을 의무화했다","오만 중앙은행","페이팔이 오만 리알 결제 지원을 시작했다","페이팔 중동 제품팀","supports_omani_rial","현지 통화 의무화 → 오만 리알 지원"
"예멘이 인터넷 서비스의 정부 검열 시스템 설치를 의무화했다","예멘 통신부","스타링크가 예멘에서 서비스 제공을 중단했다","스페이스X 중동팀","discontinues_internet_service","검열 시스템 의무화 → 인터넷 서비스 중단"
"사우디아라비아가 게임 내 종교적 콘텐츠 검열을 의무화했다","사우디 미디어청","액티비전이 사우디아라비아 버전 콜 오브 듀티에서 종교 관련 맵을 제거했다","액티비전 중동 콘텐츠팀","removes_religious_content","종교 콘텐츠 검열 의무화 → 종교 관련 맵 제거"
"이란이 외국 메신저 앱의 서버 현지화를 의무화했다","이란 정보통신기술부","텔레그램이 이란에서 서비스를 완전 중단했다","텔레그램 중동 정책팀","completely_exits_market","서버 현지화 의무화 → 서비스 완전 중단"
"아프가니스탄이 여성의 모바일 앱 사용을 제한했다","아프가니스탄 정보문화부","와츠앱이 아프가니스탄에서 성별 확인 없는 익명 사용 기능을 추가했다","메타 남아시아 정책팀","enables_anonymous_usage","여성 앱 사용 제한 → 익명 사용 기능"
"파키스탄이 소셜미디어 콘텐츠의 우르두어 자막을 의무화했다","파키스탄 정보방송부","유튜브가 파키스탄에서 우르두어 자동 자막 생성 기능을 출시했다","유튜브 남아시아 현지화팀","launches_urdu_auto_captions","우르두어 자막 의무화 → 자동 자막 기능"
"방글라데시가 모바일 결제 서비스의 현지 서버 저장을 의무화했다","방글라데시 중앙은행","비카시가 다카에 데이터센터를 신설했다","비카시 인프라팀","builds_local_data_center","현지 서버 의무화 → 데이터센터 신설"
"스리랑카가 암호화폐 거래에 대한 25% 세율을 적용했다","스리랑카 재무부","바이낸스가 스리랑카 사용자에게 세금 납부 안내 서비스를 제공했다","바이낸스 남아시아 세무팀","provides_tax_guidance_service","고율 과세 → 세금 안내 서비스"
"네팔이 외국 결제 앱의 네팔어 지원을 의무화했다","네팔 중앙은행","구글페이가 네팔에서 네팔어 인터페이스를 출시했다","구글 남아시아 현지화팀","launches_nepali_interface","네팔어 지원 의무화 → 네팔어 인터페이스"
"부탄이 인터넷 서비스의 불교 가치 준수를 의무화했다","부탄 정보통신부","넷플릭스가 부탄에서 폭력적 콘텐츠 필터링을 강화했다","넷플릭스 남아시아 콘텐츠팀","enhances_violence_filtering","불교 가치 준수 의무화 → 폭력 콘텐츠 필터링"
"몰디브가 관광 앱의 현지 가이드 정보 포함을 의무화했다","몰디브 관광부","에어비앤비가 몰디브에서 현지 가이드 추천 기능을 추가했다","에어비앤비 남아시아 관광팀","adds_local_guide_recommendations","현지 가이드 정보 의무화 → 가이드 추천 기능"